primary_place_of_performance_state_code,total_obligated_amount,fiscal_year
OK,14763769584.15,2020
PA,14328765728.119999,2020
NC,14133856452.65,2020
MN,13851401540.29,2020
NJ,12806714436.64,2020
IL,11358356352.97,2020
MS,10992146368.85,2020
HI,10433337304.02,2020
SC,10359025820.66,2020
WA,10249414941.289999,2020
NY,10082383244.3,2020
CT,10019781145.95,2020
LA,9566961151.34,2020
OH,7515449616.82,2020
AK,7466944569.55,2020
NM,6468620375.7,2020
IN,6059025741.4,2020
TN,5792238178.26,2020
ME,5672056472.28,2020
NV,5482068462.9,2020
MI,5245042388.87,2020
GU,5035394472.37,2020
KS,3823001269.47,2020
OR,3618810171.3700004,2020
NE,3159025081.58,2020
AR,3084417251.15,2020
PR,2895996880.11,2020
RI,2479349880.18,2020
IA,1914503423.98,2020
WI,1817698908.74,2020
NH,1330197573.76,2020
WV,780739873.72,2020
MT,742561329.0,2020
ND,681664639.3,2020
DE,554774427.92,2020
WY,521623083.03,2020
MH,485863969.5,2020
ID,482863050.98,2020
SD,321884076.57,2020
VT,302855771.71,2020
VI,149395104.98000002,2020
MP,99316471.41,2020
PW,87257792.24,2020
AS,5370959.46,2020
FM,3859910.96,2020
VA,132135765599.68001,2021
CA,105135206549.07,2021
TX,67985071303.51,2021
MD,60983599241.04,2021
KY,47152783064.96,2021
FL,41030033792.28,2021
AL,36462403220.78,2021
CO,34102836508.5,2021
MA,23198799064.22,2021
DC,21156337097.2,2021
AZ,18704847731.170002,2021
GA,15399598019.19,2021
MO,14992023064.48,2021
UT,14863772757.15,2021
NC,14022684234.58,2021
OK,13889301924.11,2021
PA,13241172542.67,2021
MS,10796477684.71,2021
IL,10774811030.95,2021
CT,10302556505.65,2021
HI,10148405524.43,2021
SC,10126653217.57,2021
NJ,10039941050.26,2021
WA,9563110498.21,2021
NY,8817253783.03,2021
LA,7593362828.21,2021
OH,7571745738.6,2021
AK,7159991142.440001,2021
ME,6340383382.17,2021
GU,6132183977.78,2021
NM,5678821231.34,2021
NV,5643334308.64,2021
IN,5607245606.68,2021
TN,5515425504.87,2021
MI,5232560210.7699995,2021
KS,4070629863.78,2021
AR,3085027057.8,2021
NE,2655766674.39,2021
RI,2334355410.46,2021
PR,2050008705.24,2021
WI,1715880871.55,2021
IA,1710131004.02,2021
NH,1425170556.41,2021
OR,1276542109.4,2021
MT,801710686.14,2021
ND,787084330.14,2021
MN,718464062.47,2021
WV,626650902.67,2021
MH,518537006.23,2021
WY,494331953.95,2021
ID,464056020.86,2021
DE,462004794.36,2021
SD,375801685.33,2021
VT,205737333.14,2021
PW,87917497.37,2021
VI,69014655.60000001,2021
MP,68505890.67,2021
FM,5403904.0,2021
AS,5327978.33,2021
VA,148347339417.24,2019
CA,143715260529.28,2019
KY,89589164357.09,2019
TX,67366272991.409996,2019
MD,65149895276.74,2019
AL,45418235766.02,2019
FL,44178468001.89,2019
CO,34569664314.83,2019
MA,22247326211.74,2019
DC,20536686134.29,2019
AZ,18505123531.04,2019
MO,18412845694.88,2019
UT,16374075560.63,2019
GA,16137648344.91,2019
OK,14527522813.65,2019
NJ,14432484613.15,2019
MN,13965162500.78,2019
PA,13493954253.84,2019
NC,12075107880.82,2019
IL,11768443527.42,2019
MS,11222354965.74,2019
HI,10274021444.1,2019
LA,10223127910.83,2019
SC,10191224732.02,2019
WA,10145051820.19,2019
NY,9536409273.74,2019
CT,8396565635.2699995,2019
AK,8033707164.440001,2019
OH,7060031120.01,2019
NM,6314497949.059999,2019
IN,5846564285.9800005,2019
NV,5690342879.4800005,2019
TN,5323500276.78,2019
ME,5294646380.9,2019
MI,5029365236.37,2019
GU,4359323838.19,2019
KS,3732525819.19,2019
OR,3317133210.6,2019
NE,3291989935.36,2019
PR,2948319286.23,2019
AR,2797605371.29,2019
RI,2559966831.28,2019
WI,1844810112.96,2019
IA,1767787710.38,2019
NH,1233478680.67,2019
MT,644892793.11,2019
ND,602179844.97,2019
WY,525389969.32,2019
DE,518499452.31,2019
MH,500450533.54,2019
ID,476328339.33,2019
WV,442123859.78000003,2019
VT,303550311.62,2019
SD,288201186.71999997,2019
VI,142540728.6,2019
MP,105866980.5,2019
PW,88733735.47,2019
FM,8851396.29,2019
AS,6539975.01,2019
VA,150267696150.13,2018
CA,134625931746.06,2018
KY,89240911192.34,2018
MD,63834183857.0,2018
TX,60874719513.049995,2018
AL,47934710402.82,2018
FL,41783488037.27,2018
CO,31458420396.879997,2018
MA,21584362618.0,2018
DC,20412585902.06,2018
MO,16163995308.04,2018
UT,16083002276.44,2018
GA,15415815040.49,2018
OK,14311045204.06,2018
NJ,14249101892.64,2018
MN,13898386823.71,2018
PA,12441885121.69,2018
AZ,12271714392.15,2018
IL,11277172469.1,2018
NC,11135779464.87,2018
MS,10610156964.36,2018
WA,10082020537.6,2018
LA,9786920977.97,2018
HI,9772318755.36,2018
SC,9493452563.17,2018
NY,8987184145.2,2018
CT,8206834843.1,2018
OH,7785875234.68,2018
AK,7609209014.83,2018
IN,7512748070.61,2018
NV,6381825055.7300005,2018
MI,5816956744.87,2018
NM,5226758885.35,2018
ME,5114462664.53,2018
TN,4938732197.87,2018
GU,4274310808.47,2018
